#ΛΕΞΗ	ΛΗΜΜΑ	Μ.τ.Λ.	ΧΑΡΑΚΤΗΡΙΣΜΟΙ
			ουδέτερο, πληθυντικός, ονομαστική
γης	γης	ουσιαστικό	άκλιτο
	γη	ουσιαστικό	θηλυκό, ενικός, γενική
επικίνδυνο	επικίνδυνος	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
γελαστή	γελαστός	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
γράμμα	γράμμα	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
εσωτερική	εσωτερικός	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
οδήγησαν	οδηγώ	ρήμα	ενεργητική, αόριστος, οριστική, πληθυντικός, 3ο πρόσωπο
ελληνική	ελληνικός	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
γλιστερό	γλιστερός	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
κουκουβάγια	κουκουβάγια	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
δυστυχισμένη	δυστυχισμένος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
μεγάλωνε	μεγαλώνω	ρήμα	ενεργητική, παρατατικός, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, ενεστώτας, προστακτική, ενικός, 2ο πρόσωπο
πάρετε			
επικίνδυνα	επικίνδυνος	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
έπρεπε	πρέπει	 ρήμα	 απρόσωπο, ενεργητική, παρατατικός, οριστική, ενικός, 3ο πρόσωπο
εφαρμόζει	εφαρμόζω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
έκοψε	κόβω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
συμβαίνουν			
βάζο	βάζο	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
ζητά	ζητάς	ουσιαστικό	αρσενικό, ενικός, κλητική
			αρσενικό, ενικός, αιτιατική
			αρσενικό, ενικός, γενική
κύριος	κύριος	επίθετο	αρσενικό, ενικός, ονομαστική
	κύριος	ουσιαστικό	αρσενικό, ενικός, ονομαστική
χαμηλή	χαμηλός	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
αγγίζει	αγγίζω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
χαμηλά	χαμηλός	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
πρωταγωνιστούν	πρωταγωνιστώ	ρήμα	ενεργητική, ενεστώτας, οριστική, πληθυντικός, 3ο πρόσωπο
βάζω			
γκολπόστ			
έσβησε			
αρετές	αρετή	ουσιαστικό	θηλυκό, πληθυντικός, αιτιατική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, ονομαστική
συγκρουόμαστε			
τζων			
καιρός	καιρός	ουσιαστικό	αρσενικό, ενικός, ονομαστική
εκείνης			
πλημμύρισε	πλημμυρίζω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
σκύλων	σκύλος	ουσιαστικό	αρσενικό, πληθυντικός, γενική
διασκεδαστικό	διασκεδαστικός	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
ρόδιζαν	ροδίζω	ρήμα	ενεργητική, παρατατικός, οριστική, πληθυντικός, 3ο πρόσωπο
γύρους	γύρος	ουσιαστικό	αρσενικό, πληθυντικός, αιτιατική
μπερδευτεί	μπερδεύω	ρήμα	παθητική, αόριστος, υποτακτική, ενικός, 3ο πρόσωπο
ακρογιαλιά	ακρογιαλιά	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
καθείς			
πουλιά	πουλί	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
χιλιάδων	χιλιάδα	ουσιαστικό	θηλυκό, πληθυντικός, γενική
μοιάζω	μοιάζω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 1ο πρόσωπο
εκπρόσωπο	εκπρόσωπος	ουσιαστικό	αρσενικό, ενικός, αιτιατική
	εκπρόσωπος	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, αιτιατική
δέκα	δέκα	επίθετο	άκλιτο
ποταμού	ποταμός	ουσιαστικό	αρσενικό, ενικός, γενική
ημίχρονο	ημίχρονο	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
βόρεια	βόρειος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			θηλυκό, ενικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
σκιερές	σκιερός	επίθετο	θηλυκό, πληθυντικός, ονομαστική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, αιτιατική
o			
σταματημό	σταματημός	ουσιαστικό	αρσενικό, ενικός, αιτιατική
χρωματισμένα			
τούς			
διασκεδαστικά	διασκεδαστικός	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
κάποτε	κάποτε	επίρρημα	
βόρειο	βόρειος	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
μια	ένας	 επίθετο	 θηλυκό, ενικός, ονομαστική, αιτιατική, ονομαστική, αιτιατική
αρχάς			
χιούμορ	χιούμορ	ουσιαστικό	άκλιτο
νερό	νερό	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
ζυμώνει	ζυμώνω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
μπράτσα	μπράτσο	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
νησιά	νησί	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
γκρινιάρικη	γκρινιάρικος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
κατηγορίας	κατηγορία	ουσιαστικό	θηλυκό, ενικός, γενική
μερικά	μερικός	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
γιαβανέζικες			
επήγε			
μπράτσο	μπράτσο	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
αργά	αργός	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
	αργό	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
διακρίνω			
φάνηηη			
ιουλίου	ιούλιος	ουσιαστικό	αρσενικό, ενικός, γενική
πουκάμισα	πουκάμισο	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
νέος	νέος	επίθετο	αρσενικό, ενικός, ονομαστική
ηλιοθεραπεία	ηλιοθεραπεία	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
πρόσεχε	προσέχω	ρήμα	ενεργητική, παρατατικός, οριστική, ενικός, 3ο πρόσωπο
σταυρωτά	σταυρωτός	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
ονειροπαρμένη	ονειροπαρμένος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
εκείνον			
εκείνοι			
δρόμου	δρόμος	ουσιαστικό	αρσενικό, ενικός, γενική
νέοι	νέος	επίθετο	αρσενικό, πληθυντικός, κλητική
			αρσενικό, πληθυντικός, ονομαστική
βρίσκοντας			
ερευνητή	ερευνητής	ουσιαστικό	αρσενικό, ενικός, κλητική
			αρσενικό, ενικός, αιτιατική
			αρσενικό, ενικός, γενική
μες	μες	ουσιαστικό	άκλιτο
	μες	επίρρημα	
εμφανιστεί	εμφανίζω	ρήμα	παθητική, αόριστος, υποτακτική, ενικός, 3ο πρόσωπο
γενιάς	γενιά	ουσιαστικό	θηλυκό, ενικός, γενική
σακί	σακί	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
μεν	μεν	σύνδεσμος	
σκορ	σκορ	ουσιαστικό	άκλιτο
πανάγαθος	πανάγαθος	ουσιαστικό	αρσενικό, ενικός, ονομαστική
κοσμικών	κοσμικός	επίθετο	θηλυκό, πληθυντικός, γενική
			αρσενικό, πληθυντικός, γενική
			ουδέτερο, πληθυντικός, γενική
μέσ’			
εξέτασε	εξετάζω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
φέρνει			
λοιπόν	λοιπόν	σύνδεσμος	
επεισοδίων	επεισόδιο	ουσιαστικό	ουδέτερο, πληθυντικός, γενική
αναφιλητά	αναφιλητό	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
τεντώθηκε	τεντώνω	ρήμα	παθητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
όμορφο	όμορφος	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
συνηθίσει	συνηθίζω	ρήμα	ενεργητική, αόριστος, υποτακτική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, απαρέμφατο, , 
μόνο	μόνο	επίρρημα	
παρέλαβε			
πένθους	πένθος	ουσιαστικό	ουδέτερο, ενικός, γενική
πλάτη	πλάτη	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
	πλάτος	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
αρχίνησε	αρχινώ	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
ψήσουν			
μεγ			
επιτεθεί			
ασφάλεια	ασφάλεια	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
ιστορικών	ιστορικός	επίθετο	θηλυκό, πληθυντικός, γενική
			αρσενικό, πληθυντικός, γενική
			ουδέτερο, πληθυντικός, γενική
	ιστορικό	ουσιαστικό	ουδέτερο, πληθυντικός, γενική
	ιστορικός	ουσιαστικό	αρσενικό, πληθυντικός, γενική
	ιστορικός	ουσιαστικό	θηλυκό, πληθυντικός, γενική
μόνη			
θέλετε			
αντίκρυ	αντίκρυ	επίρρημα	
’λαχε			
πεινασμένο			
φωνή	φωνή	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
υπάρχει			
υπήρξε			
λείπει	λείπω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
παρ’			
κεντούσε	κεντώ	ρήμα	ενεργητική, παρατατικός, οριστική, ενικός, 3ο πρόσωπο
πόρτας	πόρτα	ουσιαστικό	θηλυκό, ενικός, γενική
λουριά	λουρί	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
υπήρξα			
περιστατικά	περιστατικό	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
γενικές	γενικός	επίθετο	θηλυκό, πληθυντικός, ονομαστική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, αιτιατική
	γενική	ουσιαστικό	θηλυκό, πληθυντικός, αιτιατική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, ονομαστική
φιλί	φιλί	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
προβάλλει			
συντάγματος	σύνταγμα	ουσιαστικό	ουδέτερο, ενικός, γενική
περίπλοκες	περίπλοκος	επίθετο	θηλυκό, πληθυντικός, ονομαστική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, αιτιατική
χάδια	χάδι	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
γηπέδου	γήπεδο	ουσιαστικό	ουδέτερο, ενικός, γενική
οικογενειακού	οικογενειακός	επίθετο	ουδέτερο, ενικός, γενική
			αρσενικό, ενικός, γενική
τούρκων	τούρκος	ουσιαστικό	αρσενικό, πληθυντικός, γενική
σκαρφαλώνει	σκαρφαλώνω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
έδινα			
δώσεις			
επήρε			
σταθείτε			
έδινε			
μία	ένας	 επίθετο	 θηλυκό, ενικός, ονομαστική, αιτιατική, ονομαστική, αιτιατική
προπάντων	προπάντων	επίρρημα	
γόνατα	γόνατο	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
	γόνα	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
επέβαλλε			
μοχθηρή	μοχθηρός	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
φορούν	φορώ	ρήμα	ενεργητική, ενεστώτας, οριστική, πληθυντικός, 3ο πρόσωπο
διαβάτες	διαβάτης	ουσιαστικό	αρσενικό, πληθυντικός, αιτιατική
			αρσενικό, πληθυντικός, κλητική
			αρσενικό, πληθυντικός, ονομαστική
ταραχώδη	ταραχώδης	επίθετο	θηλυκό, ενικός, αιτιατική
			ουδέτερο, πληθυντικός, αιτιατική
			αρσενικό, ενικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			αρσενικό, ενικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
βράχια			
δέντρου	δέντρο	ουσιαστικό	ουδέτερο, ενικός, γενική
μόλο	μόλο	σύνδεσμος	
	μόλος	ουσιαστικό	αρσενικό, ενικός, αιτιατική
κανονικό	κανονικός	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
ήθελαν			
πτερύγια	πτερύγιο	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
φρέντυ			
έστειλε			
ταμείο	ταμείο	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
γλιτώσει	γλιτώνω	ρήμα	ενεργητική, αόριστος, υποτακτική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, απαρέμφατο, , 
σώζει			
αγελάδα	αγελάδα	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
σπρώχνει	σπρώχνω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
απομένουν			
αποφάσισε	αποφασίζω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
προγιαγιάς	προγιαγιά	ουσιαστικό	θηλυκό, ενικός, γενική
άκουσε			
αλέσουμε			
θέλεις			
μας	μου	 αντωνυμία	 πρώτο, πληθυντικός, γενική, αιτιατική
μπερδεύοντας	μπερδεύω	ρήμα	ενεργητική, ενεστώτας, μετοχή, , 
λούσα	λούσο	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
πάρεις			
διακόπτει			
άντρες	άντρας	ουσιαστικό	αρσενικό, πληθυντικός, αιτιατική
			αρσενικό, πληθυντικός, κλητική
			αρσενικό, πληθυντικός, ονομαστική
πραΰνει	πραΰνω	ρήμα	ενεργητική, αόριστος, υποτακτική, ενικός, 3ο πρόσωπο
			ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, απαρέμφατο, , 
σκύλου	σκύλος	ουσιαστικό	αρσενικό, ενικός, γενική
συμβουλεύει	συμβουλεύω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
	συμβουλεύω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
σκύλος	σκύλος	ουσιαστικό	αρσενικό, ενικός, ονομαστική
τους	ο	 άρθρο	 οριστικό, αρσενικό, πληθυντικός, αιτιατική
ησυχάσω	ησυχάζω	ρήμα	ενεργητική, αόριστος, υποτακτική, ενικός, 1ο πρόσωπο
μουγγή	μουγγός	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
ολάκερη	ολάκερος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
ψαράκι			
θέλουν			
ολομόναχος	ολομόναχος	επίθετο	αρσενικό, ενικός, ονομαστική
χλωμά	χλωμός	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
βήματα	βήμα	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
μείνουν			
κραυγές	κραυγή	ουσιαστικό	θηλυκό, πληθυντικός, αιτιατική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, ονομαστική
βήματα	βήμα	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
αγγλία			
οδοντοϊάτρου			
ελληνικής	ελληνικός	επίθετο	θηλυκό, ενικός, γενική
μιχάλης			
ικανοποίηση	ικανοποίηση	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
ξεκαρδίστηκαν	ξεκαρδίζομαι	ρήμα	παθητική, αόριστος, οριστική, πληθυντικός, 3ο πρόσωπο
σκηνή	σκηνή	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
ξαναγυρίζω	ξαναγυρίζω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 1ο πρόσωπο
ουρανός	ουρανός	ουσιαστικό	αρσενικό, ενικός, ονομαστική
μαγικά	μαγικός	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
δυσδαιμόνα			
ένστικτο	ένστικτο	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
	ένστικτος	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
μπαρμπα	μπάρμπας	ουσιαστικό	αρσενικό, ενικός, κλητική
			αρσενικό, ενικός, αιτιατική
			αρσενικό, ενικός, γενική
κάνουμε			
σας			
λέξεις	λέξη	ουσιαστικό	θηλυκό, πληθυντικός, αιτιατική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, ονομαστική
σκύβοντας	σκύβω	ρήμα	ενεργητική, ενεστώτας, μετοχή, , 
σαν	σαν	επίρρημα	
ρεύματος	ρεύμα	ουσιαστικό	ουδέτερο, ενικός, γενική
ειδική	ειδικός	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
βρετανικό	βρετανικός	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
της	ο	 άρθρο	 οριστικό, θηλυκό, ενικός, γενική
κονσερβοκούτια	κονσερβοκούτι	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
ντυμένος			
τερματοφύλακες	τερματοφύλακας	ουσιαστικό	αρσενικό, πληθυντικός, αιτιατική
			αρσενικό, πληθυντικός, κλητική
			αρσενικό, πληθυντικός, ονομαστική
παλικάρι	παλικάρι	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
βάλε			
θεσσαλονικιών			
καθόταν			
κάμει			
γαλήνια	γαλήνιος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			θηλυκό, ενικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
περνά	περνώ	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
βγήκαν			
ζητώ	ζητώ	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 1ο πρόσωπο
επέτειο	επέτειος	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, αιτιατική
απαντά	απαντώ	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
απόλυτο	απόλυτος	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
’βλεπες			
σουηδοί			
τέτοια	τέτοιος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
